"name","address","website","url","review","published_at"
"Alibaba","Staré grunty 56
841 04 Bratislava ","http://www.alibabacentrum.sk/","http://restauracie.sme.sk/restauracia/alibaba_75","Stredný priemer, obsluhe sa niekedy nechce. ","12.12.2011"
"Alibaba","Staré grunty 56
841 04 Bratislava ","http://www.alibabacentrum.sk/","http://restauracie.sme.sk/restauracia/alibaba_75","Obsluha nic moc. Pred rokom som tam mala objednany stol na oslavu promocii. Ked sme tam prisli bol nachystany v saloniku kde sa prave konal kar. Narychlo nas prevali na iny stol, kde najskor prestreli az potom zistili, ze nam nedali obrus, cize zase odznova. Ked sme sa konecne dostali k objednaniu, tak z 5 arabskych specialit, ktorými sa pysia nemali ani jednu. skoncili sme pri cernohore a celi stastni odtial vypadli.","15.11.2011"
"Alibaba","Staré grunty 56
841 04 Bratislava ","http://www.alibabacentrum.sk/","http://restauracie.sme.sk/restauracia/alibaba_75","Priemerne jedlo, no velmi zla a neochotna obsluha.","8.11.2011"
"DeliveriX","Púpavová 27/A
841 04 Bratislava ","http://www.deliverix.sk/","http://restauracie.sme.sk/restauracia/deliverix_4129","Asi najlepsia donaska v Bratislave. Pizza chuti velmi dobre a cestoviny patrone su bozske :) mohli by zlepsit stangle, ale celkovo su super a hlavne nosia ako jediny nacas!","5.11.2011"
"DeliveriX","Púpavová 27/A
841 04 Bratislava ","http://www.deliverix.sk/","http://restauracie.sme.sk/restauracia/deliverix_4129","izza vyborna, donaska rychla, ceny nizke. Skoda len ze pizza stangle robia rozrezanim pizza cesta a nie tak, ako by sa malo.","2.10.2011"
"DeliveriX","Púpavová 27/A
841 04 Bratislava ","http://www.deliverix.sk/","http://restauracie.sme.sk/restauracia/deliverix_4129","Chutné jedlo za veľmi dobré ceny.","25.11.2011"
"Amélia","Silvánska 31
841 04 Bratislava ","http://www.amelia.stranky.cc/","http://restauracie.sme.sk/restauracia/amelia_4798","Mal som pizzu - bola v pohode, cize sa dala zjest ale ani nic co by potesilo moje chutove pohariky. Obsluha - mladsia slecna, asi bola nova, bo vyzerala trochu zmatena. Atmosfera - nemal som ziadny pocit, ani kladny ani zaporny. Ceny mi prisli priemerne.","18.11.2011"
"Amélia","Silvánska 31
841 04 Bratislava ","http://www.amelia.stranky.cc/","http://restauracie.sme.sk/restauracia/amelia_4798","Veľmi spokojný.Jedlo je zážitok pre chuťové bunky,aj pre oči.Obsluhe chýba úsmev na tvári na obed aj večer.","4.12.2011"
"Amélia","Silvánska 31
841 04 Bratislava ","http://www.amelia.stranky.cc/","http://restauracie.sme.sk/restauracia/amelia_4798","mnam","25.9.2011"
"AURA","Silvánska 31
841 04 Bratislava ",,"http://restauracie.sme.sk/restauracia/aura-bratislava_3873","originálne miesto, škoda trochu neochotného personálu...:/","4.10.2011"
"AURA","Silvánska 31
841 04 Bratislava ",,"http://restauracie.sme.sk/restauracia/aura-bratislava_3873","Velmi rád si tam posedím, príjemne prostredie :)","17.11.2011"
"Bastion Koliba","Litovská 9
841 04 Bratislava ",,"http://restauracie.sme.sk/restauracia/bastion-koliba_1488?allreviews=true","Menicka v pohode, dobra cena, dobre porcie, cez obed dost ludi a rebierka maju perfektne, momnentalne dobre akcie aj na nete na jedlo - posledne pecena kacka","20.10.2011"
"Bastion Koliba","Litovská 9
841 04 Bratislava ",,"http://restauracie.sme.sk/restauracia/bastion-koliba_1488?allreviews=true","Neviem, ci vymenili kuchara alebo sa snazia setrit, hlavne polievky nestoja v poslednej dobe za nic a omacky k hlavnemu jedlu maju chut UHO :(","8.12.2011"
"Bastion Koliba","Litovská 9
841 04 Bratislava ",,"http://restauracie.sme.sk/restauracia/bastion-koliba_1488?allreviews=true","Nie je vela restaurácií, kde vám daju pokazene jedlo. Tato je jedna z nich.","6.12.2011"
"Belavijo","Majerníkova 13/A
841 05 Bratislava ",,"http://restauracie.sme.sk/restauracia/belavijo_243?allreviews=true","Výborná rštaurácia! Jedlo veľmi chutné, obsluha milá a pozorná. Na terase nízka kapacita stolov, veľmi zlé parkovanie.","28.10.2011"
"Belavijo","Majerníkova 13/A
841 05 Bratislava ",,"http://restauracie.sme.sk/restauracia/belavijo_243?allreviews=true","Krasny vyhlad, jedlo v pohode, mali sme pizzu a paradajkovu polievku, casnicka velmi ochotna nebola - asi sme iba nemali stastie","26.10.2011"
"Belavijo","Majerníkova 13/A
841 05 Bratislava ",,"http://restauracie.sme.sk/restauracia/belavijo_243?allreviews=true","S obedovým menu skúsenosť nemám, ale čo sa týka ponuky z jedálneho lístka, tak jedlo bolo čerstvé, veľmi chutné (za čo zákazník zaplatí vyššou cenou). Na Slovenské pomery sme sa stretli s nadpriemerne ochotnou a pozornou obsluhou. Celkový dojem bol veľmi dobrý a ak budete hľadať večeru v cene cca 10€ na osobu, rozhodne sa návšteva Belavija oplatí.","14.11.2011"
"Casa Della Pizza & Grill","Staré grunty 64
841 04 Bratislava ",,"http://restauracie.sme.sk/restauracia/casa-della-pizza-grill_531?allreviews=true","zmiesane pocity, niekedy super, niekedy o nicom, takze priemer","18.11.2011"
"Casa Della Pizza & Grill","Staré grunty 64
841 04 Bratislava ",,"http://restauracie.sme.sk/restauracia/casa-della-pizza-grill_531?allreviews=true","čo sa týka jedál, denné menu sa často opakuje, chcelo by to nejakú inováciu...obsluhúci páni super, dámy by sa mohli občas usmiať...","6.12.2011"
"Casa Della Pizza & Grill","Staré grunty 64
841 04 Bratislava ",,"http://restauracie.sme.sk/restauracia/casa-della-pizza-grill_531?allreviews=true","Reštauráciu Casa Della Pizza end Grill navštevujem pravielne už 6 rokov,oslavoval som v nej aj životné jubileum, vačšinou som veľmi spokojný s kvalitou jedla obsluhy a aj príjemným prostredím. Moje hodnotenie 4,5 hviezdičky z 5-tich možných.","14.10.2011"
"Greencafé","Cikkerova 1
841 05 Bratislava ",,"http://restauracie.sme.sk/restauracia/greencafe_72?allreviews=true","Celkom fajn, cisto, pekne, varia v pohode, ale dost dlho, niekedy to aj personalu trva trocha dlhsie, ale stale je to ok ... nefajciarske prizemie a fajciarke poschodie je plus.","9.11.2011"
"Greencafé","Cikkerova 1
841 05 Bratislava ",,"http://restauracie.sme.sk/restauracia/greencafe_72?allreviews=true","Veľmi príjemné prostredie na večerné posedenie, ale aj cez deň s rodinkou na pizzu.:) Trochu spomalený personál a dlhá príprava jedál.","1.12.2011"
"Greencafé","Cikkerova 1
841 05 Bratislava ",,"http://restauracie.sme.sk/restauracia/greencafe_72?allreviews=true","Greencafe je zatvorene...","3.12.2011"
"La Martiné","Matejkova 15
841 05 Bratislava ",,"http://restauracie.sme.sk/restauracia/la-martine_1549?allreviews=true","Príjemné prostredie, pozorná obsluha, chutné jedlá.","26.9.2011"
"La Martiné","Matejkova 15
841 05 Bratislava ",,"http://restauracie.sme.sk/restauracia/la-martine_1549?allreviews=true","fajn munučka za dobré ceny.. slušný výber, ceny a kvalita.","7.12.2011"
"La Martiné","Matejkova 15
841 05 Bratislava ",,"http://restauracie.sme.sk/restauracia/la-martine_1549?allreviews=true","Radi sem občas chodíme. Kuchyňa aj obsluha v poriadku. Akurát však bola naposledy asi pokazená ventilácia v kuchyni, lebo sme riadne napáchli. Ale určite sa budeme vracať pokiaľ to bola len výnimka.","12.12.2011"
"Palacinkáreň Mexiko","Pribišova 47
841 05 Bratislava ","http://www.palacinkaren.eu/","http://restauracie.sme.sk/restauracia/palacinkaren-mexiko_4127?allreviews=true","objednal som si sote s plackou ako bolo napisane na menu a prisla ryza bez predosleho upozornenia, a casnicka mikla plecom, premna priemerna az podpriemerna restauracia a okolo mexickeho jedla to ani neslo, no paradajkova so syrom bola chutna syru hodne ale extremne sladka..","12.12.2011"
"Palacinkáreň Mexiko","Pribišova 47
841 05 Bratislava ","http://www.palacinkaren.eu/","http://restauracie.sme.sk/restauracia/palacinkaren-mexiko_4127?allreviews=true","V restuaracii som bol asi 7x - jedlo bolo vzdy velmi chutne, avsak pripravte sa na dlhsiu pripravu jedal, inac oblsuha bola mila. Podnik mi pride vhodny bud na romanticku veceru alebo stretnutie s priatelmi. Ceny su podla mna dost vysoke, ale kvalita jedla to vyvazi, cize su primerane.","8.9.2011"
"Palacinkáreň Mexiko","Pribišova 47
841 05 Bratislava ","http://www.palacinkaren.eu/","http://restauracie.sme.sk/restauracia/palacinkaren-mexiko_4127?allreviews=true","Dnes som si dala menu dna a bolo dobre. Aj ked zemiaciky boli trosku tvrde. Nemala som k nicomu vyhrady. Nevladala som a este po mne dojedal kolega.","15.10.2011"
"Restaurant Riviera","Devínska cesta 2
841 04 Bratislava ","http://www.restaurantriviera.sk/","http://restauracie.sme.sk/restauracia/restaurant-riviera_2785?allreviews=true","Vyborne, odporucane. mali sme tam aciu, no super a chutilo....","12.12.2011"
"Restaurant Riviera","Devínska cesta 2
841 04 Bratislava ","http://www.restaurantriviera.sk/","http://restauracie.sme.sk/restauracia/restaurant-riviera_2785?allreviews=true","Skvelá kuchyňa, výborný výber jedál a špecialít. Kvalita za ktorú sa oplatí priplatiť si.","12.12.2011"
"Restaurant Riviera","Devínska cesta 2
841 04 Bratislava ","http://www.restaurantriviera.sk/","http://restauracie.sme.sk/restauracia/restaurant-riviera_2785?allreviews=true","Velmi prijemne prostredie, ceny su sice vyssie, ale stoji za tu kvalitu jedla. Mate moznost stretnut aj zname osobnosti.","17.11.2011"
"SUBWAY - Cubicon","Staré Grunty 24
841 04 Bratislava ",,"http://restauracie.sme.sk/restauracia/subway-cubicon_4144?allreviews=true","vyskusala som len donasku, jedlo je velmi dobre, cena primerana, aj ked obcas prinesu nieco ine ako si clovek objednal ...","13.11.2011"
"SUBWAY - Cubicon","Staré Grunty 24
841 04 Bratislava ",,"http://restauracie.sme.sk/restauracia/subway-cubicon_4144?allreviews=true","Asi najlepsi a najzdravsi fast food aky poznam, to plati pre cely franchise celosvetovo. Tento nezaostava za surodencami v zahranici, takze vcelku fajn","16.10.2011"
"SUBWAY - Cubicon","Staré Grunty 24
841 04 Bratislava ",,"http://restauracie.sme.sk/restauracia/subway-cubicon_4144?allreviews=true","Z fast foodov asi najlepšia možnosť, bagety sú čerstvé a chutné- lepšie než tie hotové čo sa dajú kúpiť na benzínkach a v hypermarketoch, k tomu dobrý cookie ako dezert.","8.12.2011"
